price,stock,name,quantity
645,Stock disponible,Cartucho Gtc E-t296 P/ Epson Xp-231 Xp-241 Cyan Temperley,
645,Stock disponible,Cartucho Gtc E-t296 P/ Epson Xp-231 Xp-241 Magenta Temperley,
749,Stock disponible,"Cartucho Alternativo Gtc 296 Magenta Epson Xp-231, 431 Nuevo",
655,Stock disponible,Cartucho Epson Gtc T296 Cyan T296c Expression Xp-231 Xp-431,(3 disponibles)
2.810,Stock disponible,Cartucho Gtc E-t297 E-t296 Para Xp-231 241 Juego Combo 4 Col,(10 disponibles)
749,Stock disponible,"Cartucho Alternativo Gtc 296 Amarillo Epson Xp-231, 431  ",
749,Stock disponible,"Cartucho Alternativo Gtc 296 Cyan Epson Xp-231, 431  ",(2 disponibles)
749,Stock disponible,"Cartucho Alternativo Gtc 296 Magenta Epson Xp-231, 431  ",(2 disponibles)
793,Stock disponible,Cartucho Tinta Epson T296 Amarillo Generico  Xp-231 Xp-431,(2 disponibles)
799,Stock disponible,Cartuchos 296 / 297 Xl  Gtc Epson Xp231/xp241/etc,(7 disponibles)
655,Stock disponible,Cartucho Epson Gtc T296 Amarillo T296a Express Xp-231 Xp-431,(3 disponibles)
655,Stock disponible,Cartucho Epson Gtc T296 Magenta T296m Expressi Xp-231 Xp-431,(3 disponibles)
655,Stock disponible,Cartucho Epson Gtc T296 Cyan T296c Expression Xp-231 Xp-431,(3 disponibles)
520,Stock disponible,Cartucho Alternativo Epson 296 T296 Cyan - Com-tech,(9 disponibles)
653,Stock disponible,Cartucho Epson Alt T296 Cyan Gtc,(11 disponibles)
653,Stock disponible,Cartucho Epson Alt T296 Magenta Gtc,(14 disponibles)
729,Stock disponible,Cartucho Epson Gtc Alternativo T296 T297 Xp-231/431 Magenta,
729,Stock disponible,Cartucho Epson Gtc Alternativo T296 T297 Xp 231/431 Cyan,
729,Stock disponible,Cartucho Epson Gtc Alternativo T296 T297 Xp 231/431 Amarillo,
2.810,Stock disponible,Cartucho Gtc E-t297 E-t296 Para Xp-231 241 Juego Combo 4 Col,(10 disponibles)
2.810,Stock disponible,Combo Juego Cartucho Gtc E-t297 E-t296 Xp-231 Xp-241 Xp241,(10 disponibles)
641,Stock disponible,Cartucho Epson Alt T296 Amarillo Gtc,(25 disponibles)
950,Stock disponible,Cartucho Alternativo 296/297 Xp231 Xp241 Xp431 X441(garin),
520,Stock disponible,Cartucho Alternativo P/ Epson 296 T296 Magenta - Com-tech,(10 disponibles)
2.190,,Cartucho Alternativo 296 297 Epson Xp-231 Xp-241 Pack X4,(10 disponibles)
600,Stock disponible,Cartucho Alternativo Epson 297 T297 296 Negro - Com-tech,(10 disponibles)
3.800,Stock disponible,Combo Gtc 4 Cartuchos Epson Alternativos 296/297,(10 disponibles)
1.995,Stock disponible,Combo Cartuchos Alternat Epson Xp231 431 Color 296 Negro 297,(41 disponibles)
641,Stock disponible,Cartucho Epson Alt T296 Amarillo Gtc,(25 disponibles)
460,Stock disponible,T296  Cart.p/epson Xp231/431 -  Magenta - 13ml - Gtc,(99 disponibles)
